_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,_source_http_response_status_code,_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1041867948,192.168.84.175,192.168.84.177,54914.0,8761.0,711,572,PUT /eureka/apps/HYSTRIX-DASHBOARD/hystrix-dashboard-app-56bfb9cf56-x9jbs:HYSTRIX-DASHBOARD:9295,>eureka>apps>HYSTRIX-DASHBOARD>hystrix-dashboard-app-56bfb9cf56-x9jbs-HYSTRIX-DASHBOARD-9295,8761.0,200.0,put,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041867948,192.168.84.175,192.168.84.177,51336.0,8761.0,945,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041867950,192.168.84.174,192.168.84.177,58656.0,8761.0,942,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041867950,192.168.84.174,192.168.84.177,41774.0,8761.0,1155,566,PUT /eureka/apps/CONFIG-SERVER/cloud-config-server-app-6775fc455f-z28gs:CONFIG-SERVER:9296,>eureka>apps>CONFIG-SERVER>cloud-config-server-app-6775fc455f-z28gs-CONFIG-SERVER-9296,8761.0,200.0,put,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041867954,192.168.84.173,192.168.84.177,51594.0,8761.0,771,556,PUT /eureka/apps/API-GATEWAY/cloud-gateway-app-75d45c98bc-mjlxt:API-GATEWAY:9191,>eureka>apps>API-GATEWAY>cloud-gateway-app-75d45c98bc-mjlxt-API-GATEWAY-9191,8761.0,200.0,put,gateway,service-registry-eureka-0
1041867955,192.168.84.173,192.168.84.177,51594.0,8761.0,675,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,gateway,service-registry-eureka-0
1041867956,192.168.84.176,192.168.84.177,50284.0,8761.0,795,574,PUT /eureka/apps/DEPARTMENT-SERVICE/department-service-app-7488fb859-xhkx5:DEPARTMENT-SERVICE:9001,>eureka>apps>DEPARTMENT-SERVICE>department-service-app-7488fb859-xhkx5-DEPARTMENT-SERVICE-9001,8761.0,200.0,put,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041867957,192.168.84.176,192.168.84.177,50284.0,8761.0,888,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041867974,192.168.84.172,192.168.84.177,36888.0,8761.0,763,557,PUT /eureka/apps/USER-SERVICE/user-service-app-686f9cf445-z24rf:USER-SERVICE:9002,>eureka>apps>USER-SERVICE>user-service-app-686f9cf445-z24rf-USER-SERVICE-9002,8761.0,200.0,put,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041867974,192.168.84.172,192.168.84.177,48658.0,8761.0,765,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041867978,192.168.84.175,192.168.84.177,51336.0,8761.0,968,572,PUT /eureka/apps/HYSTRIX-DASHBOARD/hystrix-dashboard-app-56bfb9cf56-x9jbs:HYSTRIX-DASHBOARD:9295,>eureka>apps>HYSTRIX-DASHBOARD>hystrix-dashboard-app-56bfb9cf56-x9jbs-HYSTRIX-DASHBOARD-9295,8761.0,200.0,put,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041867978,192.168.84.175,192.168.84.177,54914.0,8761.0,597,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041867980,192.168.84.174,192.168.84.177,58656.0,8761.0,756,566,PUT /eureka/apps/CONFIG-SERVER/cloud-config-server-app-6775fc455f-z28gs:CONFIG-SERVER:9296,>eureka>apps>CONFIG-SERVER>cloud-config-server-app-6775fc455f-z28gs-CONFIG-SERVER-9296,8761.0,200.0,put,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041867980,192.168.84.174,192.168.84.177,41774.0,8761.0,1209,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041867984,192.168.84.173,192.168.84.177,51594.0,8761.0,901,556,PUT /eureka/apps/API-GATEWAY/cloud-gateway-app-75d45c98bc-mjlxt:API-GATEWAY:9191,>eureka>apps>API-GATEWAY>cloud-gateway-app-75d45c98bc-mjlxt-API-GATEWAY-9191,8761.0,200.0,put,gateway,service-registry-eureka-0
1041867985,192.168.84.173,192.168.84.177,51594.0,8761.0,700,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,gateway,service-registry-eureka-0
1041867986,192.168.84.176,192.168.84.177,50284.0,8761.0,941,574,PUT /eureka/apps/DEPARTMENT-SERVICE/department-service-app-7488fb859-xhkx5:DEPARTMENT-SERVICE:9001,>eureka>apps>DEPARTMENT-SERVICE>department-service-app-7488fb859-xhkx5-DEPARTMENT-SERVICE-9001,8761.0,200.0,put,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041867987,192.168.84.176,192.168.84.177,50284.0,8761.0,815,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041868004,192.168.84.172,192.168.84.177,48658.0,8761.0,904,557,PUT /eureka/apps/USER-SERVICE/user-service-app-686f9cf445-z24rf:USER-SERVICE:9002,>eureka>apps>USER-SERVICE>user-service-app-686f9cf445-z24rf-USER-SERVICE-9002,8761.0,200.0,put,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041868004,192.168.84.172,192.168.84.177,36888.0,8761.0,923,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041868008,192.168.84.175,192.168.84.177,51336.0,8761.0,1308,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041868008,192.168.84.175,192.168.84.177,54914.0,8761.0,978,572,PUT /eureka/apps/HYSTRIX-DASHBOARD/hystrix-dashboard-app-56bfb9cf56-x9jbs:HYSTRIX-DASHBOARD:9295,>eureka>apps>HYSTRIX-DASHBOARD>hystrix-dashboard-app-56bfb9cf56-x9jbs-HYSTRIX-DASHBOARD-9295,8761.0,200.0,put,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041868010,192.168.84.174,192.168.84.177,41774.0,8761.0,1118,566,PUT /eureka/apps/CONFIG-SERVER/cloud-config-server-app-6775fc455f-z28gs:CONFIG-SERVER:9296,>eureka>apps>CONFIG-SERVER>cloud-config-server-app-6775fc455f-z28gs-CONFIG-SERVER-9296,8761.0,200.0,put,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041868010,192.168.84.174,192.168.84.177,58656.0,8761.0,1035,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
