symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1042810238,192.168.247.8,192.168.247.4,42622.0,8888.0,106325,1476,GET /auth-service/default,>auth-service>default,8888.0,200.0,get,auth-service,config-server
out,1042810238,192.168.247.8,10.98.245.48,42622.0,8888.0,106360,1476,GET /auth-service/default,>auth-service>default,8888.0,200.0,get,auth-service,config-server
out,1042810250,192.168.247.8,192.168.247.5,50548.0,8761.0,7259,931,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,auth-service,registry
out,1042810250,192.168.247.8,10.108.35.123,50548.0,8761.0,7307,931,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,auth-service,registry
out,1042810250,192.168.247.8,192.168.247.5,50548.0,8761.0,47983,1379,POST /eureka/apps/AUTH-SERVICE,>eureka>apps>AUTH-SERVICE,8761.0,204.0,post,auth-service,registry
out,1042810250,192.168.247.8,10.108.35.123,50548.0,8761.0,48029,1379,POST /eureka/apps/AUTH-SERVICE,>eureka>apps>AUTH-SERVICE,8761.0,204.0,post,auth-service,registry
out,1042810280,192.168.247.8,192.168.247.5,50548.0,8761.0,5252,1068,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,auth-service,registry
out,1042810280,192.168.247.8,10.108.35.123,50548.0,8761.0,5315,1068,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,auth-service,registry
out,1042810280,192.168.247.8,192.168.247.5,58190.0,8761.0,8106,469,PUT /eureka/apps/AUTH-SERVICE/auth-service-65b964b6c-84h87:auth-service:5000,>eureka>apps>AUTH-SERVICE>auth-service-65b964b6c-84h87-auth-service-5000,8761.0,200.0,put,auth-service,registry
out,1042810280,192.168.247.8,10.108.35.123,58190.0,8761.0,8155,469,PUT /eureka/apps/AUTH-SERVICE/auth-service-65b964b6c-84h87:auth-service:5000,>eureka>apps>AUTH-SERVICE>auth-service-65b964b6c-84h87-auth-service-5000,8761.0,200.0,put,auth-service,registry
out,1042810340,192.168.247.8,192.168.247.5,50548.0,8761.0,5087,469,PUT /eureka/apps/AUTH-SERVICE/auth-service-65b964b6c-84h87:auth-service:5000,>eureka>apps>AUTH-SERVICE>auth-service-65b964b6c-84h87-auth-service-5000,8761.0,200.0,put,auth-service,registry
out,1042810340,192.168.247.8,10.108.35.123,50548.0,8761.0,5154,469,PUT /eureka/apps/AUTH-SERVICE/auth-service-65b964b6c-84h87:auth-service:5000,>eureka>apps>AUTH-SERVICE>auth-service-65b964b6c-84h87-auth-service-5000,8761.0,200.0,put,auth-service,registry
out,1042810340,192.168.247.8,192.168.247.5,58190.0,8761.0,5684,1068,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,auth-service,registry
out,1042810340,192.168.247.8,10.108.35.123,58190.0,8761.0,5733,1068,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,auth-service,registry
out,1042810370,192.168.247.8,10.108.35.123,50548.0,8761.0,10841,1071,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,auth-service,registry
out,1042810370,192.168.247.8,192.168.247.5,50548.0,8761.0,10732,1071,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,auth-service,registry
out,1042810370,192.168.247.8,10.108.35.123,58190.0,8761.0,10515,469,PUT /eureka/apps/AUTH-SERVICE/auth-service-65b964b6c-84h87:auth-service:5000,>eureka>apps>AUTH-SERVICE>auth-service-65b964b6c-84h87-auth-service-5000,8761.0,200.0,put,auth-service,registry
out,1042810370,192.168.247.8,192.168.247.5,58190.0,8761.0,10409,469,PUT /eureka/apps/AUTH-SERVICE/auth-service-65b964b6c-84h87:auth-service:5000,>eureka>apps>AUTH-SERVICE>auth-service-65b964b6c-84h87-auth-service-5000,8761.0,200.0,put,auth-service,registry
out,1042810400,192.168.247.8,192.168.247.5,50548.0,8761.0,2247,1071,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,auth-service,registry
out,1042810400,192.168.247.8,192.168.247.5,50548.0,8761.0,4150,469,PUT /eureka/apps/AUTH-SERVICE/auth-service-65b964b6c-84h87:auth-service:5000,>eureka>apps>AUTH-SERVICE>auth-service-65b964b6c-84h87-auth-service-5000,8761.0,200.0,put,auth-service,registry
